id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48432535,Sliema Off Bisazza Street 2bd Apt,1774894,ShortLets,,Sliema,35.91169,14.50733,Entire home/apt,106,7,4,2022-07-20,0.56,143,263,4,
52293638,"HIGH FLOOR seafront PENTHOUSE, OPP beach & WIFI AC",385341680,ThreeSIXTY Estates,,San Pawl il-Bahar,35.95139,14.42493,Entire home/apt,114,3,16,2022-09-09,1.37,282,351,16,
701115303082589783,Luxurious highrise seafront w/ breathtaking views,460469292,Steve,,San Pawl il-Bahar,35.9494886,14.407707,Entire home/apt,250,1,0,,,3,281,0,
647407937367795199,Modern 1BR Maisonette steps from the Promenade,17208391,Paola,,Gzira,35.90614,14.49421,Entire home/apt,89,1,2,2022-08-26,0.61,63,338,2,
685851869658120523,Lovely 3 Bedroom condo with Hot Tub and View,193063871,Simon,,San Gwann,35.91041101783569,14.485751221148696,Entire home/apt,177,5,0,,,1,365,0,
50068273,A SEA FRONT BEDROOM EN-SUITE & privet BALCONY,121948121,Luana,,Gzira,35.90143,14.50069,Private room,68,1,56,2022-09-19,3.64,4,304,49,
43121413,Designer finished 2 Bedroom Apartment,74292469,Maria Kristina,,Santa Venera,35.88974,14.47451,Entire home/apt,850,33,0,,,1,365,0,
45391558,Newly Refurbished apartment next to Mellieha bay,353377424,Charles,,Mellieha,35.96572,14.36028,Entire home/apt,60,4,47,2022-09-17,1.94,1,170,25,
651835927479887186,Ferries end 2-bedroom apartment with seaviews,1774894,ShortLets,,Sliema,35.90927097384424,14.502887603860172,Entire home/apt,131,7,0,,,143,363,0,
18564149,'Valletta Vista' amazing views Malta Grand Harbour,2122874,Anne,,Isla,35.890339,14.515266,Entire home/apt,117,3,73,2022-09-10,1.14,1,246,26,
42660300,"Penthouse with sea view, lift, 2 min from Valletta",6449023,Sara,,Floriana,35.89098,14.50723,Entire home/apt,114,3,21,2022-09-20,1.43,1,140,16,
53929065,HT 2 - One bedroom apartment with roof terrace ☼,142930567,Vrem,,Valletta,35.89854,14.51727,Entire home/apt,197,2,1,2022-09-19,1,29,93,1,
685056176407892378,"Private room,Swieqi",473023381,Gökhan Emre,,Swieqi,35.9216223,14.4759106,Private room,30,1,1,2022-08-15,0.70,2,86,1,
658497586737318327,Ta Karolina 1 Bedroom Designer Apartment - No.2,143117453,Rachel,,Munxar,36.03031,14.21633,Entire home/apt,80,2,6,2022-09-02,2.81,2,356,6,
563435270867766026,Cosy bedroom in a shared Maltese townhouse,169831412,Mark,,San Giljan,35.91341,14.48925,Private room,27,2,6,2022-08-15,0.98,14,64,6,
37233686,Bright Maltese townhouse,206366087,Rafa,,Sliema,35.91039,14.50315,Private room,55,2,17,2022-08-28,0.44,1,126,3,
52933923,Double bedroom private close to Sliema and Uni,18827990,Caroline,,Gzira,35.90531,14.49211,Private room,25,3,3,2022-08-28,0.28,2,256,3,
50127726,Ta Kristoff Holiday Home,118538195,Baron Holiday Homes,,Qala,36.04383,14.30736,Entire home/apt,214,1,1,2021-10-27,0.09,56,354,1,
646398100199113577,Modern 2 bedroom Apartment boasting natural light,36781816,Eric,,Marsascala,35.85738,14.56613,Entire home/apt,64,6,7,2022-09-17,3.00,1,335,7,
28336342,Pembroke Seaview,213585616,Anita,,Pembroke,35.92819,14.4873,Private room,56,2,34,2022-09-13,0.81,1,316,12,
629400206594961561,VBH APARTMENT ST. JULIAN,271082509,Gian Paolo,,San Giljan,35.92078,14.4905,Entire home/apt,146,1,3,2022-08-10,0.84,5,264,3,
50129789,Jasmine Suite+,171409029,Maria,,San Giljan,35.91447,14.49254,Entire home/apt,225,1,43,2022-09-15,2.82,2,32,34,
620001468105266334,Executive Family Bedroom Harbour View,457143962,Grands Suites Residences And Spa,,Gzira,35.90209,14.49382,Entire home/apt,301,1,1,2022-08-09,0.61,8,361,1,
19029496,Private Wood Bedroom w/Private Bathroom Wifi Pool,22875028,Mária,,San Pawl il-Bahar,35.95031,14.41285,Private room,100,3,131,2022-06-10,2.03,3,0,10,
602569272861050570,TC3A - Charming and Homely 2 Bedroom Apartment,118489013,Ed,,Marsascala,35.86555,14.55674,Entire home/apt,75,2,2,2022-08-14,0.67,22,150,2,
37304916,Amazing Seafront Flat Mellieha (Sleeps 6) ACs AAA+,94388413,Romina,,Mellieha,35.96743,14.35715,Entire home/apt,86,3,64,2022-09-12,1.73,1,284,27,
54135740,AG1 - Studio in the center,142930567,Vrem,,Valletta,35.89788,14.50951,Entire home/apt,112,2,4,2022-09-19,2.50,29,68,4,
37901140,Gorgeous 2BR Apartment close to Amenities,17208391,Paola,,Msida,35.89513,14.48741,Entire home/apt,75,1,6,2022-08-18,0.16,63,301,4,
22950212,"Home from home-Fully A/Ced,WIFI,big terrace,garage",708187,Rose,,San Pawl il-Bahar,35.95153,14.41662,Entire home/apt,65,4,17,2019-09-17,0.32,1,83,0,
34926947,Highly modern 1 doublebed bedroom,43870303,Shawn,,Hamrun,35.88479,14.48814,Private room,52,3,2,2022-08-17,0.05,3,347,1,
34190843,The Penthouse Flat terrace&view,4653048,Joseph Charles,,Isla,35.88631,14.51981,Entire home/apt,306,2,32,2022-09-05,0.78,14,148,12,
